Firstname,Lastname,Employee ID,Employee Manager Name,Join Date,Date of Birth,Employee Age,Employee Salary,Employee Department Name
Brittany,Phillips,70341,Christopher Bradford,2020-03-31,1977-05-12,46,114000, Marketing
Joseph,Robbins,725790,Scott Roberts,2023-02-05,1975-07-01,48,38000, Operations
Debra,Booker,340114,Isabel Rogers,2021-04-12,1989-05-01,34,107000, Finance
Joseph,Alexander,62363,Rebecca White,2020-04-23,1997-10-26,25,92000,HR
Hannah,Marshall,808228,Amber Lowery,2020-04-24,1979-04-04,44,44000,HR
Tyrone,Chavez,104206,Ryan Smith,2020-12-14,1999-08-26,23,104000, Finance
Peter,Leon,94419,Robert Alvarez,2022-01-04,1987-03-08,36,118000, Operations
Karen,Mooney,135620,Janet Ramirez,2022-11-04,1990-12-14,32,81000, IT
Anna,George,217987,Alexis Foster,2020-01-10,1969-07-28,54,84000, IT
Ann,Powers,229653,Justin Anderson,2021-06-25,1998-08-05,25,123000, Marketing
Matthew,Vaughan,703478,Amy Lee,2022-10-04,1992-06-20,31,57000, Operations
Theodore,Hartman,94929,Michael Griffin,2021-08-07,1976-04-29,47,136000, IT
Melinda,Robbins,708730,Kendra Koch,2021-02-19,2000-01-08,23,98000, Operations
Matthew,Lawson,810807,Mary Foley,2023-01-04,1966-12-20,56,45000, IT
Savannah,Lynch,963739,Craig Walker,2022-08-30,2000-11-22,22,146000, Operations
Haley,Holland,405918,Cindy Allison,2022-11-11,1968-12-06,54,64000, Marketing
Jessica,Costa,703240,Tracy Rhodes,2023-05-11,1964-03-30,59,49000, Marketing
Cindy,Moss,982714,Joy Robinson,2022-09-07,1983-04-11,40,139000, Marketing
Michael,Rush,550046,Christopher Williams,2023-05-14,1976-06-03,47,133000, IT
Maureen,Knox,809963,Jacob Johnson,2022-07-11,1963-03-13,60,129000,HR
Jacob,Thompson,617147,Jason Lang,2021-11-10,1984-09-07,38,65000,HR
David,Frederick,127263,Matthew Smith,2023-08-07,1972-08-29,50,112000, Marketing
Madison,Adkins,88948,Brianna Ayers,2021-12-29,1970-02-28,53,52000, Operations
Patrick,Salazar,467500,Karen Chavez,2020-06-09,1998-01-20,25,129000,HR
Joshua,Rodriguez,631042,Jenna Jones,2022-11-05,1992-02-21,31,147000, Marketing
Nicholas,Fernandez,706581,Ashley Keith,2022-11-04,1984-11-02,38,130000, IT
Jessica,Murphy,452536,Rebecca Little,2021-09-17,1989-12-28,33,84000, Marketing
Paige,Johnson,905900,Michelle Smith,2022-03-23,1962-12-13,60,59000,HR
Gregory,Coleman,628132,Cheryl Beck,2020-10-19,1985-06-05,38,129000, IT
Miranda,Clements,261482,Ashley Greene,2021-10-23,1968-02-27,55,79000,HR
Devon,Jones,459585,Dawn Villa,2021-10-16,1987-08-19,35,128000, Finance
Jonathan,Collins,693225,Christopher Fisher,2023-04-24,1968-07-14,55,47000, Operations
Rebecca,Pace,597496,Olivia Hernandez,2022-04-22,1992-04-17,31,55000, Operations
Hannah,Johnson,408835,Betty Bradford,2021-09-14,1978-06-09,45,118000, Finance
April,Padilla,520375,Amber Luna,2020-03-07,1975-06-04,48,84000, IT
Brad,Carter,888938,Lindsey Moreno,2022-04-08,1995-08-27,27,77000, Operations
